"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13"
"60",6.25,112.75,393.450570479185,412.515736361019,403.195951948842,405.90274852507,408.517231606857,402.0115900526,392.31300279948,400.995686025757,412.473555967758,400.124587985463,422.668643694708,427.252372681407,413.305129699124
"61",6.25,113.25,391.821933643417,417.080408383074,409.868605775092,400.437708204612,403.226808987792,407.067925782091,397.432130840817,403.698809707082,413.782198701618,409.70023245576,419.353983037421,426.258099227608,416.176608490146
"62",6.25,113.75,401.466334981359,415.791630618227,410.608828779493,402.118845124893,403.828704935231,405.281346135276,399.232298859136,403.187260406913,417.47372468998,408.500611263404,422.644688757372,418.065266376076,413.435855547388
"63",6.25,114.25,398.706562102247,419.163291356836,412.17577730251,416.802161227431,404.603632255441,408.343501138634,394.819364125028,402.652592802964,417.838807347068,413.6282664852,420.505555285539,423.757212633725,414.020913446431
"64",6.25,114.75,407.848670404603,416.007492505798,411.05901946889,422.369245834279,415.56608903399,409.843586309482,399.915550620271,407.415667188812,418.148432249958,414.149168672685,427.122987669136,414.053749030218,419.496383775674
"65",6.25,115.25,407.119945729023,417.899455172259,417.797668559051,431.1647879985,421.265597152133,413.641980075127,407.173655262893,411.42530176655,422.38565719245,420.476506926281,425.820967672912,418.428507879464,423.10864614477
"66",6.25,115.75,388.683006739856,424.62828140028,418.619399296367,467.039513196311,440.632896331592,412.729598591637,401.532042661413,405.700932928245,429.958627213655,428.089915177353,417.166864106968,423.625430493264,432.097039697426
"67",6.25,116.25,360.779645404355,418.407716141254,408.712088296383,472.518066185119,446.711443489156,402.220028716232,385.147909986497,390.200607935793,422.781044755454,424.942319255752,395.337803931271,433.970459496411,431.001358851532
"70",6.25,117.75,412.248756017991,422.53419460931,420.053128995936,450.868742311562,406.807183083858,425.199448922457,392.383347258792,407.415417699939,429.636375303033,431.258044998106,435.736262352088,452.433762098437,425.231484667243
"71",6.25,118.25,399.43805099647,422.909496824022,415.321042788096,410.170438995592,410.180549606134,426.092370471296,402.837124913719,415.065130388824,416.294467847791,430.133313164091,429.287207228518,428.030648046538,433.749548701192
"72",6.25,118.75,395.752901286365,410.330669439845,401.932330331318,391.193323010065,395.851919707986,408.703055503555,386.415385072205,400.116439327253,407.053540022692,417.962418974578,433.162773096797,403.991874709864,428.111844692527
"73",6.25,119.25,390.484308837485,420.406033837141,391.167545685041,381.337323796467,395.262409329685,408.621848294402,380.580892010015,395.630904167932,398.942242359686,418.719096575307,417.097611614379,391.426760028917,431.933361709412
"74",6.25,119.75,393.109286986664,427.794059258708,389.259430930847,374.324132845888,397.953663708742,412.533265657942,387.649176350076,399.921419589877,395.255408835904,418.425924793293,405.717280981951,395.355283252834,433.755411810685
"75",6.25,120.25,387.124712485612,414.821659739217,377.601562801644,359.364404272476,390.844609328299,404.945313472383,372.85469883918,390.950826904479,389.28889172507,412.321353259875,418.12725218035,377.228271461744,435.36805320167
"76",6.25,120.75,368.900035435971,415.779075787515,328.37489968024,308.65188521872,381.749972578711,372.000350802853,334.498534687061,356.873573309123,363.451741545322,383.504397171219,397.754295636471,313.417937721875,436.733748353217
"77",6.25,121.25,352.028786631029,429.395614610949,317.864377132383,298.008093944147,380.553837428825,367.787339997896,325.408818588505,349.026979251706,354.993206796383,381.903543409732,376.447551530192,305.600630708696,439.050541440897
"78",6.25,121.75,349.326510018201,402.193160590782,299.741366511287,299.660841630305,329.037367428938,345.695635183609,275.655590160868,312.557673570466,342.797248651843,374.372837580172,383.892358547562,286.696424427367,415.944294797994
"79",6.75,109.25,379.83882461201,411.951059634043,383.43732442172,409.798753449038,423.836113123504,395.612067078922,380.836987595414,395.065858345826,396.187637102796,396.912316145623,412.317914246434,405.61226192357,427.364630349957
"80",6.75,109.75,383.057449405082,403.324043849952,389.553959297304,420.959311378915,415.335694617984,396.40825221242,378.650774698553,394.605170822268,398.09054236448,399.52161509471,419.780047259064,416.623468527561,422.272619465735
"81",6.75,110.25,378.243783988637,416.730680355936,386.676193298855,418.917691032151,422.70095848489,394.350362479015,380.081556753139,393.98945042149,400.650026722621,390.814850641534,406.448694526251,424.870239232853,416.998150419294
"82",6.75,110.75,364.905990347318,418.360151987651,391.717128036822,423.310258705688,417.38458983542,399.331792025618,375.409679849617,394.092812948921,400.578599902333,399.120869004877,407.476579206171,436.877350134269,419.897017862028
"83",6.75,111.25,353.602625823091,414.422590107386,395.307561841205,417.854213686519,406.437278995794,403.309687193865,369.483624733517,392.895757687681,399.041862634041,407.684921546724,413.976129104657,440.985981875574,423.549177417905
"84",6.75,111.75,371.25947329434,417.476067903345,397.694798467792,403.309499429055,397.580757661138,406.490723109397,381.118858082294,397.235106553214,398.42803438864,407.073542459456,406.661510661444,442.964612166058,418.657307419815
"85",6.75,112.25,381.021578942343,418.221425051054,398.689460786373,393.666046216922,400.377597738244,407.892065759896,388.06364088488,401.25314528086,402.536984791944,404.022430018586,411.640795203266,438.022920506704,417.579412649298
"86",6.75,112.75,375.800829756963,414.616938800259,401.735678587491,404.938390896691,399.238152772216,406.407131596392,384.575052452917,399.170039343149,404.132230563524,405.004298816394,413.812667642776,445.672962826571,415.679546501183
"87",6.75,113.25,378.788401980084,411.766667153814,403.369676170663,404.146014963532,399.196067027506,400.041495823008,386.120978319139,396.256930038967,408.753700901677,400.00200613276,415.96352631029,440.947186318018,410.694886366612
"88",6.75,113.75,394.210675307748,415.142549300218,402.919809279788,401.359845961585,397.745341742298,402.19544502606,390.574106435083,398.57469090713,409.543199891511,400.25244375324,414.699454465971,435.198966786907,408.954643895354
