"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"101",6.75,120.25,418.78,416.85,418.63,420.5,408.59,423.06,422.31,421.75,416.85,418.48,427.06,421.02,422.94,427.05,418.27
"102",6.75,120.75,417.87,416.47,417.17,420.97,410.27,422.66,423.51,424.42,418.09,419.1,426.47,420.28,423.41,424.59,417.83
"103",6.75,121.25,410.37,409.55,413.74,414.46,406.31,416.16,418.22,417.21,408.37,416.1,426.74,410.05,417.75,424.77,410.61
"104",6.75,121.75,404.5,408.54,409.13,403.97,402.34,406.52,410.4,411.3,401.19,409.69,422.87,405.04,414.14,419.13,409.73
"105",7.25,109.25,410.21,408.7,417.85,420.62,405.12,420.52,416.25,412.1,416.26,414.46,422.24,414.95,414.78,418.2,417.85
"106",7.25,109.75,408.79,410.83,416.76,419.66,406.6,418.84,416.56,412.73,416.24,413.43,422.04,414.71,410.62,417.2,419.27
"107",7.25,110.25,405.14,409.52,416.04,420.39,409.35,417.32,415.46,418.5,417.53,414.99,422.25,414.06,410.49,414.72,419.63
"108",7.25,110.75,402.4,409.53,416.57,420.19,412.18,420.69,413.88,414.01,416.29,414.02,422.72,413.4,411.53,417.87,417.11
"109",7.25,111.25,403.12,412.5,416.67,420.05,414.42,420.61,413.8,417.68,419.36,412.78,423.69,414.09,412.06,419.76,418.43
"110",7.25,111.75,406.63,413.79,417.45,419.67,416.62,417.21,416.69,417.55,418.97,413.51,424.36,415.26,412.12,419.42,422.2
"111",7.25,112.25,408.75,413.47,417.07,420.27,417.77,418.66,415.98,418.03,417.24,415.35,424.27,415.57,409.59,418.96,421.64
"112",7.25,112.75,408.38,414.46,418.82,420.87,416.79,418.06,415.64,418.01,422.32,416.47,422.88,417.93,408.19,418.41,420.5
"113",7.25,113.25,409.62,411.4,420.02,420.68,418.3,420.9,412.19,418.19,421.98,414.67,422.81,418.77,409.97,418.47,420.3
"114",7.25,113.75,410.98,411.4,420.59,421.29,417.96,421.79,416.4,422.66,419.36,416.27,424.31,418.78,414.38,420.76,420.61
"115",7.25,114.25,414.11,413.04,420.13,421.17,419.48,423.93,420.32,423.64,420.8,417.34,424.81,420.06,415.6,420.41,421.54
"116",7.25,114.75,411.51,414.27,418.61,419.63,420.36,422.28,422.22,421.48,422.43,418.76,424.41,420.4,418.75,419.44,420.9
"117",7.25,115.25,414.92,418.97,418.71,419.1,419.93,422.64,422.58,421.14,421.39,421.36,423.36,421.62,420.87,420.93,419.7
"118",7.25,115.75,417.84,422.07,417.94,421.16,420.81,425.62,422.89,424.1,423.47,422.7,423.98,422.75,422.39,424.76,418.84
"119",7.25,116.25,422.74,424.07,420.19,421.73,422.25,426.81,426.12,425.72,425.88,421.21,425.85,422.95,423.75,427.09,420.71
"120",7.25,116.75,422.54,426.29,423.73,425.41,425.7,429.93,424.47,423.79,425.07,426.69,425.56,425.35,428.64,428.72,423.89
"121",7.25,117.25,425.45,432.85,433.2,428.17,432.09,432.43,426.49,424.07,423.27,431.82,428.34,429.84,436,432.19,430.75
"122",7.25,117.75,428.5,426.85,429.62,428.51,430.27,431.88,430.27,429.4,424.36,428.13,432.14,429.26,426.91,432.38,427.55
"123",7.25,118.25,418.84,423.41,423.82,425.54,422.86,425.41,423.45,424.37,420.68,425.15,427.7,425.12,421.99,426.95,424.46
"124",7.25,118.75,416.41,423.29,420.26,421.57,417.92,422.95,420.31,422.51,416.82,419.65,426.97,421.24,417.06,424.42,423.21
"125",7.25,119.25,418.26,420.78,419.7,420.31,415.08,424.28,420.21,421.05,417.01,420.25,424.92,417.63,417.98,425.74,417.28
"126",7.25,119.75,417.54,420.07,419.11,420.14,411.35,424.16,420.46,422.6,420.14,416.29,425.32,418.81,420.46,426.89,418.73
"127",7.25,120.25,419.97,412.65,417.58,420.41,412.35,423.08,420.72,423.46,421.1,415.28,427.23,419.46,420.2,428.3,418.85
"128",7.25,120.75,416.79,414.24,418.39,419.85,410.41,421.54,420.09,425.26,418.56,412.83,426.53,415.79,417.97,425.13,417.57
"129",7.25,121.25,415.88,416.49,416.24,417.52,411.6,420.12,421.36,424.58,417.36,415.61,424.18,417.69,419.43,423.9,416.09
"130",7.25,121.75,416.42,416.54,415.58,421.11,407.98,421.36,418.41,421.21,413.07,415.11,422.99,417.58,420,423.13,419.78
"131",7.75,109.25,410.96,408.59,416.43,416.39,407.49,420.75,409.84,412.63,414.91,414.12,422.13,413.84,413.91,416,414.52
"132",7.75,109.75,408.77,411.53,419.18,416.78,404.37,418.04,411.95,413.7,416.64,415.25,422.39,413.45,407.11,416.7,417.2
"133",7.75,110.25,407.64,408.85,417.19,419.4,408.47,418.34,408.75,416.13,418.3,416.92,422.39,411.71,407.98,414.09,420.18
"134",7.75,110.75,405.05,409.17,417.24,419.69,411.68,420.83,415.96,415.2,417.28,416.02,422.2,413.82,410.1,414.91,420.06
"135",7.75,111.25,402.14,407.95,414.83,418.25,411.72,419.68,412.99,417.49,416.71,411.89,422.27,413.97,409.24,417.05,420.48
"136",7.75,111.75,406,411.42,414.84,418.99,414.51,417.94,414.57,416.96,423.02,413.85,424.13,414.8,408.64,419.38,420.57
"137",7.75,112.25,403.88,413.14,416.03,418.99,421.07,420.29,414.3,415.92,420.23,416.52,423.48,416.09,407.87,422.15,421.3
"138",7.75,112.75,403.02,409.86,418.66,418.97,419.8,419.3,413.97,416.86,419.16,418.09,423.39,417.48,409.93,419.03,419.56
"139",7.75,113.25,405.41,411.7,418.83,417.61,418.48,423.17,414.33,419.87,417.99,416.08,422.73,414.74,403.76,417.93,419.71
"140",7.75,113.75,407.87,411.1,420.48,421.77,418.84,423.02,414.87,421.67,421.58,415.77,423.83,416.71,408.91,421.26,419.85
"141",7.75,114.25,409.59,415.4,421.4,424.53,418.4,427.24,419.4,424.11,422.52,420.55,428.28,422.45,415.93,424.17,424.05
"142",7.75,114.75,406.46,414.24,418.15,420.53,417.04,423.36,420.67,419.13,420.47,418.49,425.06,421.51,415.09,420.97,420.85
"143",7.75,115.25,407.84,414.37,418.03,420.76,419.21,422.22,421.91,420.93,422.15,420.1,424.03,420.9,418.24,420.72,419.53
"144",7.75,115.75,412.71,418.92,415.55,420.71,416.46,422.56,420.38,423.26,421.6,419.93,423.18,421.66,420.09,419.94,420.43
"145",7.75,116.25,415.84,421.18,415.64,419.89,417.8,424.58,421.9,425.19,422.74,420.23,424.48,421.58,421.59,423.05,418.33
"146",7.75,116.75,415.77,422.74,421.65,422.51,421.59,427.14,426.16,426.57,423.89,420.93,426.56,423.5,426.58,427.03,419.2
"147",7.75,117.25,424.28,426.39,427.62,424.6,423.91,429.46,427.68,424.71,423.26,426.5,429.13,425.74,429.83,428.61,424.81
"148",7.75,117.75,423.99,423.8,426.52,421.16,424.95,426.85,426.53,425.92,417.24,423.21,428.64,424.3,422.96,427.24,421.22
"149",7.75,118.25,421.8,421.27,424.14,419.63,419.09,425.82,424.8,423.31,419.23,425.58,429.28,422.2,420.57,428.1,422.53
"150",7.75,118.75,419.61,421.09,421.45,418.36,420.14,423.23,421.93,425.49,417.04,421.07,426.63,420.32,418.89,427.83,419.95
"151",7.75,119.25,420.88,417.49,419.93,418.21,422.03,422.24,422.41,422.66,419.23,419.92,425.25,415.76,419.37,425.87,420.56
"152",7.75,119.75,419.6,415.51,418.15,419.49,417.24,424.19,419.89,420.88,421.41,415.06,425.22,414.91,419.97,427.36,420.66
"153",7.75,120.25,421.71,414.43,420.1,418.28,414.09,424.39,419.81,422.75,421.19,414.27,425.95,414.95,420.71,426.88,419.46
"154",7.75,120.75,418.32,412.66,420.43,417.04,414.9,420.77,417.83,424.45,418.42,416.06,426.44,414.95,422.15,424.48,416.24
"155",7.75,121.25,415.35,414.65,416.68,420.08,411.05,419.44,420.31,423.5,419.61,419.95,424.23,418.9,421.83,424.14,416.3
"156",7.75,121.75,415.49,417.61,414.8,421.31,410.78,421.57,417.81,423.98,419.96,417.52,424.2,420.85,420.8,424.49,418.26
"157",8.25,109.25,406.9,415.13,416.05,415.65,404.93,421.73,410.47,415.27,415.28,413.51,422.76,413.07,411.97,411.92,417.49
"158",8.25,109.75,407.8,412.44,415.15,415.89,407.81,417.12,407.71,418.2,416.36,414.31,421.18,411.25,410.3,413.35,414.1
"159",8.25,110.25,406.64,413.38,415.97,418.41,408.01,417.65,409.53,418.18,414.35,415.92,422.28,412.99,409.57,414.61,414.06
"160",8.25,110.75,403.21,411.94,416.41,420.87,408.26,418.01,414.35,416.17,417.86,414.38,424.14,413.97,409.61,414.82,419.11
"161",8.25,111.25,403.2,403.19,413.04,416.83,408.07,417.45,412.22,414.22,419.71,413.87,422.93,413.04,408.04,413.86,417.91
"162",8.25,111.75,406.39,406.62,414.6,418.21,415.26,415.75,412.74,414.1,414.68,413.44,422.56,415.2,410.04,415.59,420.54
